,count_unique,count_null,count_missing_passive,count_missing_confirmed,ppn_null,data_type
EcogSPDivatt_bl,19,7104,0,0,0.5575700494466682,float64
EcogSPTotal_bl,327,6974,0,0,0.5473667686994741,float64
FDG_bl,1281,3609,0,0,0.28325877089710383,float64
PIB_bl,20,12595,0,0,0.9885409308531512,float64
AV45_bl,891,6991,0,0,0.5487010438741072,float64
Years_bl,1907,0,0,0,0.0,float64
Month_bl,1907,0,0,0,0.0,float64
Month,23,0,0,0,0.0,int64
M,22,0,0,0,0.0,int64
update_stamp,101,0,0,0,0.0,object
EXAMDATE_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1897,0,0,0,0.0,object
VERSION_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,192,0,0,0,0.0,object
FLDSTRENG_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2,0,0,0,0.0,object
LONISID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,4342,0,0,0,0.0,object
LONIUID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,4342,0,0,0,0.0,object
IMAGEUID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,4342,0,0,0,0.0,object
RUNDATE_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,192,0,0,0,0.0,object
STATUS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,0,0,0,0.0,object
BASETP1_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,0,0,0,0.0,object
BASETP2_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,0,0,0,0.0,object
BASETP3_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,0,0,0,0.0,object
BASETP4_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,0,0,0,0.0,object
BASETP5_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,0,0,0,0.0,object
BASETP6_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,0,0,0,0.0,object
BASETP7_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,0,0,0,0.0,object
BASETP8_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2,0,0,0,0.0,object
OVERALLQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,4,1411,0,0,0.11074483949454517,object
TEMPQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,1411,0,0,0.11074483949454517,object
FRONTQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,1411,0,0,0.11074483949454517,object
PARQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,1411,0,0,0.11074483949454517,object
INSULAQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,1411,0,0,0.11074483949454517,object
OCCQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,1411,0,0,0.11074483949454517,object
BGQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,1411,0,0,0.11074483949454517,object
CWMQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,1411,0,0,0.11074483949454517,object
VENTQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3,1411,0,0,0.11074483949454517,object
ST100SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1,0,0,0,0.0,object
ST101SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1048,0,0,0,0.0,object
ST102CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1885,0,0,0,0.0,object
ST102SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,963,0,0,0,0.0,object
ST102TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1011,0,0,0,0.0,object
ST102TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,371,0,0,0,0.0,object
ST103CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1366,0,0,0,0.0,object
ST103SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,467,0,0,0,0.0,object
ST103TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1405,0,0,0,0.0,object
ST103TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,606,0,0,0,0.0,object
ST104CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2035,0,0,0,0.0,object
ST104SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1009,0,0,0,0.0,object
ST104TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,921,0,0,0,0.0,object
ST104TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,371,0,0,0,0.0,object
ST105CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1443,0,0,0,0.0,object
ST105SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,595,0,0,0,0.0,object
ST105TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1051,0,0,0,0.0,object
ST105TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,463,0,0,0,0.0,object
ST106CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2119,0,0,0,0.0,object
ST106SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1065,0,0,0,0.0,object
ST106TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,912,0,0,0,0.0,object
ST106TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,404,0,0,0,0.0,object
ST107CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1517,0,0,0,0.0,object
ST107SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1056,0,0,0,0.0,object
ST107TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,676,0,0,0,0.0,object
ST107TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,416,0,0,0,0.0,object
ST108CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2771,0,0,0,0.0,object
ST108SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1724,0,0,0,0.0,object
ST108TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,810,0,0,0,0.0,object
ST108TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,382,0,0,0,0.0,object
ST109CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1702,0,0,0,0.0,object
ST109SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,809,0,0,0,0.0,object
ST109TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1028,0,0,0,0.0,object
ST109TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,455,0,0,0,0.0,object
ST10CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2925,0,0,0,0.0,object
ST110CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3132,0,0,0,0.0,object
ST110SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1873,0,0,0,0.0,object
ST110TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1020,0,0,0,0.0,object
ST110TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,322,0,0,0,0.0,object
ST111CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2889,0,0,0,0.0,object
ST111SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1729,0,0,0,0.0,object
ST111TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,977,0,0,0,0.0,object
ST111TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,337,0,0,0,0.0,object
ST112SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2300,0,0,0,0.0,object
ST113CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1614,0,0,0,0.0,object
ST113SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,674,0,0,0,0.0,object
ST113TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1247,0,0,0,0.0,object
ST113TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,704,0,0,0,0.0,object
ST114CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3307,0,0,0,0.0,object
ST114SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2278,0,0,0,0.0,object
ST114TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,787,0,0,0,0.0,object
ST114TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,314,0,0,0,0.0,object
ST115CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3442,0,0,0,0.0,object
ST115SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2398,0,0,0,0.0,object
ST115TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,919,0,0,0,0.0,object
ST115TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,303,0,0,0,0.0,object
ST116CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3154,0,0,0,0.0,object
ST116SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2037,0,0,0,0.0,object
ST116TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,900,0,0,0,0.0,object
ST116TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,388,0,0,0,0.0,object
ST117CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2944,0,0,0,0.0,object
ST117SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1434,0,0,0,0.0,object
ST117TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1046,0,0,0,0.0,object
ST117TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,347,0,0,0,0.0,object
ST118CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2967,0,0,0,0.0,object
ST118SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1704,0,0,0,0.0,object
ST118TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,929,0,0,0,0.0,object
ST118TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,339,0,0,0,0.0,object
ST119CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1517,0,0,0,0.0,object
ST119SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,416,0,0,0,0.0,object
ST119TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1692,0,0,0,0.0,object
ST119TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,726,0,0,0,0.0,object
ST11SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,652,0,0,0,0.0,object
ST120SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2224,0,0,0,0.0,object
ST121CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,752,0,0,0,0.0,object
ST121SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,313,0,0,0,0.0,object
ST121TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1218,0,0,0,0.0,object
ST121TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,427,0,0,0,0.0,object
ST122SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1,0,0,0,0.0,object
ST123CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1789,0,0,0,0.0,object
ST123SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1496,0,0,0,0.0,object
ST123TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,651,0,0,0,0.0,object
ST123TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,590,0,0,0,0.0,object
ST124SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1502,0,0,0,0.0,object
ST125SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,513,2,0,0,0.00015697354995683227,object
ST126SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1,0,0,0,0.0,object
ST127SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2061,0,0,0,0.0,object
ST128SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3505,0,0,0,0.0,object
ST129CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2342,0,0,0,0.0,object
ST129SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1015,0,0,0,0.0,object
ST129TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,995,0,0,0,0.0,object
ST129TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,510,0,0,0,0.0,object
ST12SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1177,0,0,0,0.0,object
ST130CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2519,0,0,0,0.0,object
ST130SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1185,0,0,0,0.0,object
ST130TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1004,0,0,0,0.0,object
ST130TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,509,0,0,0,0.0,object
ST13CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1707,0,0,0,0.0,object
ST13SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,838,0,0,0,0.0,object
ST13TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1056,0,0,0,0.0,object
ST13TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,414,0,0,0,0.0,object
ST14CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1601,0,0,0,0.0,object
ST14SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,607,0,0,0,0.0,object
ST14TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1417,0,0,0,0.0,object
ST14TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,714,0,0,0,0.0,object
ST15CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2649,0,0,0,0.0,object
ST15SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1429,0,0,0,0.0,object
ST15TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1001,0,0,0,0.0,object
ST15TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,367,0,0,0,0.0,object
ST16SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1828,0,0,0,0.0,object
ST17SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,4006,0,0,0,0.0,object
ST18SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3951,0,0,0,0.0,object
ST19SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2481,0,0,0,0.0,object
ST1SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3446,0,0,0,0.0,object
ST20SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2497,0,0,0,0.0,object
ST21SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1565,0,0,0,0.0,object
ST22CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1,0,0,0,0.0,object
ST22SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1,0,0,0,0.0,object
ST22TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1,0,0,0,0.0,object
ST22TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1,0,0,0,0.0,object
ST23CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1691,0,0,0,0.0,object
ST23SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,956,0,0,0,0.0,object
ST23TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,741,0,0,0,0.0,object
ST23TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,475,0,0,0,0.0,object
ST24CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1704,0,0,0,0.0,object
ST24SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,454,0,0,0,0.0,object
ST24TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1903,0,0,0,0.0,object
ST24TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,676,0,0,0,0.0,object
ST25CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,726,0,0,0,0.0,object
ST25SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,248,0,0,0,0.0,object
ST25TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1284,0,0,0,0.0,object
ST25TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,594,0,0,0,0.0,object
ST26CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3057,0,0,0,0.0,object
ST26SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1642,0,0,0,0.0,object
ST26TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1117,0,0,0,0.0,object
ST26TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,410,0,0,0,0.0,object
ST27SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2508,0,0,0,0.0,object
ST28CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1,0,0,0,0.0,object
ST29SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2058,0,0,0,0.0,object
ST2SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,742,0,0,0,0.0,object
ST30SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2060,0,0,0,0.0,object
ST31CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3235,0,0,0,0.0,object
ST31SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2016,0,0,0,0.0,object
ST31TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,967,0,0,0,0.0,object
ST31TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,384,0,0,0,0.0,object
ST32CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3177,0,0,0,0.0,object
ST32SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1765,0,0,0,0.0,object
ST32TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1124,0,0,0,0.0,object
ST32TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,402,0,0,0,0.0,object
ST33SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1,0,0,0,0.0,object
ST34CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1636,0,0,0,0.0,object
ST34SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,772,0,0,0,0.0,object
ST34TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1159,0,0,0,0.0,object
ST34TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,557,0,0,0,0.0,object
ST35CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3137,0,0,0,0.0,object
ST35SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2120,0,0,0,0.0,object
ST35TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,861,0,0,0,0.0,object
ST35TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,367,0,0,0,0.0,object
ST36CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2350,0,0,0,0.0,object
ST36SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1212,0,0,0,0.0,object
ST36TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,890,0,0,0,0.0,object
ST36TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,409,0,0,0,0.0,object
ST37SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,4088,0,0,0,0.0,object
ST38CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2571,0,0,0,0.0,object
ST38SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1640,0,0,0,0.0,object
ST38TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,740,0,0,0,0.0,object
ST38TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,362,0,0,0,0.0,object
ST39CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2405,0,0,0,0.0,object
ST39SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1236,0,0,0,0.0,object
ST39TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,968,0,0,0,0.0,object
ST39TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,523,0,0,0,0.0,object
ST3SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,368,0,0,0,0.0,object
ST40CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,3076,0,0,0,0.0,object
ST40SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1563,0,0,0,0.0,object
ST40TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1090,0,0,0,0.0,object
ST40TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,396,0,0,0,0.0,object
ST41SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1,0,0,0,0.0,object
ST42SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1133,0,0,0,0.0,object
ST43CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1781,0,0,0,0.0,object
ST43SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,888,0,0,0,0.0,object
ST43TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1022,0,0,0,0.0,object
ST43TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,414,0,0,0,0.0,object
ST44CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1458,0,0,0,0.0,object
ST44SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,488,0,0,0,0.0,object
ST44TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,1546,0,0,0,0.0,object
ST44TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,602,0,0,0,0.0,object
ST45CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,2218,0,0,0,0.0,object
