id,column_name,data_type,count_unique,count_null,count_missing_passive,count_missing_confirmed,count_blank,ppn_missing_baseline,ppn_missing_all,source,cat,exclude,baseline
96,ST103TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,421,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
97,ST103TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,326,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
98,ST104CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,484,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
99,ST104SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,392,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
100,ST104TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,393,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
101,ST104TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,224,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
102,ST105CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,450,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
103,ST105SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,317,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
104,ST105TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,406,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
105,ST105TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,279,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
106,ST106CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,475,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
107,ST106SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,420,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
108,ST106TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,390,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
109,ST106TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,221,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
110,ST107CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,436,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
111,ST107SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,408,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
112,ST107TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,295,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
113,ST107TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,244,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
114,ST108CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,506,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
115,ST108SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,453,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
116,ST108TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,359,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
117,ST108TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,222,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
118,ST109CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,469,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
119,ST109SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,369,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
120,ST109TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,379,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
121,ST109TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,248,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
122,ST10CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,539,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
123,ST110CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,514,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
124,ST110SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,468,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
125,ST110TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,398,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
126,ST110TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,209,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
127,ST111CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,511,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
128,ST111SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,465,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
129,ST111TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,376,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
130,ST111TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,200,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
131,ST112SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,481,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
132,ST113CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,439,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
133,ST113SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,316,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
134,ST113TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,416,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
135,ST113TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,338,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
136,ST114CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,519,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
137,ST114SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,483,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
138,ST114TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,373,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
139,ST114TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,181,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
140,ST115CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,524,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
141,ST115SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,506,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
142,ST115TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,400,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
143,ST115TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,184,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
144,ST116CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,526,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
145,ST116SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,488,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
146,ST116TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,378,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
147,ST116TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,223,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
148,ST117CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,508,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
149,ST117SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,445,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
150,ST117TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,378,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
151,ST117TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,201,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
152,ST118CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,509,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
153,ST118SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,465,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
154,ST118TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,388,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
155,ST118TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,201,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
156,ST119CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,423,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
157,ST119SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,227,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
158,ST119TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,453,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
159,ST119TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,336,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
160,ST11SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,313,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
161,ST120SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,494,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
162,ST121CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,362,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
163,ST121SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,205,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
164,ST121TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,433,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
165,ST121TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,265,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
166,ST122SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,0,819,0,0,0,1,1,UCSFFSL,MRI (Longitudinal),0,0
167,ST123CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,511,277,0,0,0,0.34,0.64,UCSFFSL,MRI (Longitudinal),0,0
168,ST123SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,470,277,0,0,0,0.34,0.64,UCSFFSL,MRI (Longitudinal),0,0
169,ST123TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,352,277,0,0,0,0.34,0.64,UCSFFSL,MRI (Longitudinal),0,0
170,ST123TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,328,277,0,0,0,0.34,0.64,UCSFFSL,MRI (Longitudinal),0,0
171,ST124SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,453,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
172,ST125SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,171,285,0,0,0,0.35,0.63,UCSFFSL,MRI (Longitudinal),0,0
173,ST126SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,0,819,0,0,0,1,1,UCSFFSL,MRI (Longitudinal),0,0
174,ST127SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,475,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
175,ST128SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,523,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
176,ST129CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,486,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
177,ST129SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,385,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
178,ST129TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,388,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
179,ST129TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,285,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
180,ST12SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,383,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
181,ST130CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,494,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
182,ST130SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,385,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
183,ST130TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,383,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
184,ST130TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,276,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
185,ST13CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,462,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
186,ST13SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,381,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
187,ST13TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,404,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
188,ST13TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,231,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
189,ST14CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,463,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
190,ST14SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,317,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
191,ST14TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,439,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
192,ST14TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,326,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
193,ST15CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,508,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
194,ST15SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,450,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
195,ST15TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,396,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
196,ST15TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,208,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
197,ST16SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,472,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
198,ST17SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,535,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
199,ST18SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,528,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
200,ST19SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,542,277,0,0,0,0.34,0.64,UCSFFSL,MRI (Longitudinal),0,0
201,ST1SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,float64,524,277,0,0,0,0.34,0.63,UCSFFSL,MRI (Longitudinal),0,0
