column_name,data_type,count_unique,count_null,count_missing_passive,count_missing_confirmed,count_blank,ppn_missing,source,cat,keep,numeric,categorical
RAVLT_perc_forgetting,float64,100,4006,0,0,0,0.314418021,NEUROBAT,Cognitive tests,1,1,0
FAQ,float64,31,3747,0,0,0,0.294089946,ADNIMERGE,Risk factors,1,1,0
MOCA,float64,31,7774,0,0,0,0.610156189,ADNIMERGE,Cognitive tests,1,1,0
EcogPtMem,float64,59,7702,0,0,0,0.604505141,ADNIMERGE,Cognitive tests,1,1,0
EcogPtLang,float64,68,7717,0,0,0,0.605682443,ADNIMERGE,Cognitive tests,1,1,0
EcogPtVisspat,float64,51,7757,0,0,0,0.608821914,ADNIMERGE,Cognitive tests,1,1,0
EcogPtPlan,float64,29,7727,0,0,0,0.60646731,ADNIMERGE,Cognitive tests,1,1,0
EcogPtOrgan,float64,37,7830,0,0,0,0.614551448,ADNIMERGE,Cognitive tests,1,1,0
EcogPtDivatt,float64,19,7755,0,0,0,0.60866494,ADNIMERGE,Cognitive tests,1,1,0
EcogPtTotal,float64,499,7713,0,0,0,0.605368495,ADNIMERGE,Cognitive tests,1,1,0
EcogSPMem,float64,58,7660,0,0,0,0.601208696,ADNIMERGE,Cognitive tests,1,1,0
EcogSPLang,float64,75,7654,0,0,0,0.600737776,ADNIMERGE,Cognitive tests,1,1,0
EcogSPVisspat,float64,54,7749,0,0,0,0.608194019,ADNIMERGE,Cognitive tests,1,1,0
EcogSPPlan,float64,31,7714,0,0,0,0.605446982,ADNIMERGE,Cognitive tests,1,1,0
EcogSPOrgan,float64,37,7883,0,0,0,0.618711247,ADNIMERGE,Cognitive tests,1,1,0
EcogSPDivatt,float64,19,7789,0,0,0,0.61133349,ADNIMERGE,Cognitive tests,1,1,0
EcogSPTotal,float64,722,7659,0,0,0,0.60113021,ADNIMERGE,Cognitive tests,1,1,0
FLDSTRENG,object,2,5662,0,0,0,0.44439212,,,0,0,0
FSVERSION,object,2,4788,0,0,0,0.375794679,,,0,0,0
Ventricles,float64,7071,5296,0,0,0,0.41566596,ADNIMERGE,MRI measures,1,1,0
Hippocampus,float64,3615,5939,0,0,0,0.466132957,ADNIMERGE,MRI measures,1,1,0
WholeBrain,float64,7286,5052,0,0,0,0.396515187,ADNIMERGE,MRI measures,1,1,0
Entorhinal,float64,2806,6272,0,0,0,0.492269053,ADNIMERGE,MRI measures,1,1,0
Fusiform,float64,4771,6272,0,0,0,0.492269053,ADNIMERGE,MRI measures,1,1,0
MidTemp,float64,4962,6272,0,0,0,0.492269053,ADNIMERGE,MRI measures,1,1,0
ICV,float64,7424,4788,0,0,0,0.375794679,ADNIMERGE,MRI measures,1,1,0
DX,object,8,3837,0,0,0,0.301153756,ADNIMERGE,Diagnosis,1,0,0
EXAMDATE_bl,object,861,0,0,0,0,0,ADNIMERGE,,0,0,0
CDRSB_bl,float64,18,0,0,0,0,0,ADNIMERGE,Cognitive tests,1,1,0
ADAS11_bl,float64,98,17,0,0,0,0.001334275,ADNIMERGE,Cognitive tests,1,1,0
ADAS13_bl,float64,134,78,0,0,0,0.006121968,ADNIMERGE,Cognitive tests,1,1,0
MMSE_bl,int64,13,0,0,0,0,0,ADNIMERGE,Cognitive tests,1,1,0
RAVLT_immediate_bl,float64,69,36,0,0,0,0.002825524,ADNIMERGE,Cognitive tests,1,1,0
RAVLT_learning_bl,float64,16,36,192,7,0,0.018444392,NEUROBAT,Cognitive tests,1,1,0
RAVLT_forgetting_bl,float64,20,36,144,1,0,0.014206106,NEUROBAT,Cognitive tests,1,1,0
RAVLT_perc_forgetting_bl,float64,79,57,0,0,0,0.004473746,NEUROBAT,Cognitive tests,1,1,0
FAQ_bl,float64,31,45,0,0,0,0.003531905,ADNIMERGE,Risk factors,1,1,0
FLDSTRENG_bl,object,2,1454,0,0,0,0.114119771,,,0,0,0
FSVERSION_bl,object,2,94,0,0,0,0.007377757,,,0,0,0
Ventricles_bl,float64,1642,490,0,0,0,0.03845852,ADNIMERGE,MRI measures,1,1,0
Hippocampus_bl,float64,1264,1781,0,0,0,0.139784946,ADNIMERGE,MRI measures,1,1,0
WholeBrain_bl,float64,1667,249,0,0,0,0.019543207,ADNIMERGE,MRI measures,1,1,0
Entorhinal_bl,float64,1158,1894,0,0,0,0.148653952,ADNIMERGE,MRI measures,1,1,0
Fusiform_bl,float64,1365,1894,0,0,0,0.148653952,ADNIMERGE,MRI measures,1,1,0
MidTemp_bl,float64,1377,1894,0,0,0,0.148653952,ADNIMERGE,MRI measures,1,1,0
ICV_bl,float64,1696,94,0,0,0,0.007377757,ADNIMERGE,MRI measures,1,1,0
MOCA_bl,float64,26,7010,0,0,0,0.550192293,ADNIMERGE,Cognitive tests,1,1,0
EcogPtMem_bl,float64,43,6956,0,0,0,0.545954007,ADNIMERGE,Cognitive tests,1,1,0
EcogPtLang_bl,float64,47,6957,0,0,0,0.546032494,ADNIMERGE,Cognitive tests,1,1,0
EcogPtVisspat_bl,float64,38,6980,0,0,0,0.547837689,ADNIMERGE,Cognitive tests,1,1,0
EcogPtPlan_bl,float64,21,6958,0,0,0,0.54611098,ADNIMERGE,Cognitive tests,1,1,0
EcogPtOrgan_bl,float64,34,7089,0,0,0,0.556392748,ADNIMERGE,Cognitive tests,1,1,0
EcogPtDivatt_bl,float64,15,6996,0,0,0,0.549093478,ADNIMERGE,Cognitive tests,1,1,0
EcogPtTotal_bl,float64,223,6957,0,0,0,0.546032494,ADNIMERGE,Cognitive tests,1,1,0
EcogSPMem_bl,float64,47,6970,0,0,0,0.547052822,ADNIMERGE,Cognitive tests,1,1,0
EcogSPLang_bl,float64,59,6965,0,0,0,0.546660388,ADNIMERGE,Cognitive tests,1,1,0
EcogSPVisspat_bl,float64,45,7048,0,0,0,0.55317479,ADNIMERGE,Cognitive tests,1,1,0
EcogSPPlan_bl,float64,30,7014,0,0,0,0.55050624,ADNIMERGE,Cognitive tests,1,1,0
EcogSPOrgan_bl,float64,35,7237,0,0,0,0.568008791,ADNIMERGE,Cognitive tests,1,1,0
EcogSPDivatt_bl,float64,19,7104,0,0,0,0.557570049,ADNIMERGE,Cognitive tests,1,1,0
EcogSPTotal_bl,float64,327,6974,0,0,0,0.547366769,ADNIMERGE,Cognitive tests,1,1,0
FDG_bl,float64,1281,3609,0,0,0,0.283258771,ADNIMERGE,PET measures,1,1,0
PIB_bl,float64,20,12595,0,0,0,0.988540931,ADNIMERGE,PET measures,1,1,0
AV45_bl,float64,891,6991,0,0,0,0.548701044,ADNIMERGE,PET measures,1,1,0
Years_bl,float64,1907,0,0,0,0,0,ADNIMERGE,Time,1,1,0
Month_bl,float64,1907,0,0,0,0,0,ADNIMERGE,Time,1,1,0
Month,int64,23,0,0,0,0,0,ADNIMERGE,Time,1,1,0
M,int64,22,0,0,0,0,0,ADNIMERGE,Time,1,1,0
update_stamp,object,101,0,0,0,0,0,,,0,0,0
EXAMDATE_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1897,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),0,0,0
VERSION_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,192,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),0,0,0
FLDSTRENG_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2,0,0,0,10217,0.80189938,UCSFFSL,MRI (Longitudinal),0,0,0
LONISID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,4342,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),0,0,0
LONIUID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,4342,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),0,0,0
IMAGEUID_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,4342,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),0,0,0
RUNDATE_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,192,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),0,0,0
STATUS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),0,0,0
BASETP1_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,0,0,0,10217,0.80189938,UCSFFSL,MRI (Longitudinal),0,0,0
BASETP2_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,0,0,0,10217,0.80189938,UCSFFSL,MRI (Longitudinal),0,0,0
BASETP3_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,0,0,0,10217,0.80189938,UCSFFSL,MRI (Longitudinal),0,0,0
BASETP4_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,0,0,0,10217,0.80189938,UCSFFSL,MRI (Longitudinal),0,0,0
BASETP5_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,0,0,0,10217,0.80189938,UCSFFSL,MRI (Longitudinal),0,0,0
BASETP6_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,0,0,0,10217,0.80189938,UCSFFSL,MRI (Longitudinal),0,0,0
BASETP7_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,0,0,0,10217,0.80189938,UCSFFSL,MRI (Longitudinal),0,0,0
BASETP8_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2,0,0,0,10217,0.80189938,UCSFFSL,MRI (Longitudinal),0,0,0
OVERALLQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,4,1411,0,0,8400,0.770033749,UCSFFSL,MRI (Longitudinal),0,0,0
TEMPQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,1411,0,0,8400,0.770033749,UCSFFSL,MRI (Longitudinal),0,0,0
FRONTQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,1411,0,0,8400,0.770033749,UCSFFSL,MRI (Longitudinal),0,0,0
PARQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,1411,0,0,8400,0.770033749,UCSFFSL,MRI (Longitudinal),0,0,0
INSULAQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,1411,0,0,8400,0.770033749,UCSFFSL,MRI (Longitudinal),0,0,0
OCCQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,1411,0,0,8400,0.770033749,UCSFFSL,MRI (Longitudinal),0,0,0
BGQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,1411,0,0,8400,0.770033749,UCSFFSL,MRI (Longitudinal),0,0,0
CWMQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,1411,0,0,8400,0.770033749,UCSFFSL,MRI (Longitudinal),0,0,0
VENTQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3,1411,0,0,8400,0.770033749,UCSFFSL,MRI (Longitudinal),0,0,0
ST100SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1,0,0,0,12741,1,UCSFFSL,MRI (Longitudinal),1,1,0
ST101SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1048,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST102CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1885,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST102SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,963,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST102TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1011,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST102TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,371,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST103CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1366,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST103SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,467,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST103TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1405,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST103TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,606,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST104CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2035,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST104SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1009,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST104TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,921,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST104TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,371,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST105CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1443,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST105SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,595,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST105TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1051,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST105TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,463,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST106CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2119,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST106SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1065,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST106TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,912,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST106TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,404,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST107CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1517,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST107SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1056,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST107TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,676,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST107TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,416,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST108CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2771,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST108SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1724,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST108TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,810,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST108TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,382,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST109CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1702,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST109SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,809,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST109TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1028,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST109TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,455,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST10CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2925,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST110CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3132,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST110SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1873,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST110TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1020,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST110TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,322,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST111CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2889,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST111SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1729,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST111TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,977,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST111TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,337,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST112SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2300,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST113CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1614,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST113SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,674,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST113TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1247,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST113TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,704,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST114CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3307,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST114SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2278,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST114TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,787,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST114TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,314,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST115CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3442,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST115SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2398,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST115TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,919,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST115TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,303,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST116CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3154,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST116SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2037,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST116TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,900,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST116TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,388,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST117CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2944,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST117SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1434,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST117TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1046,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST117TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,347,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST118CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2967,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST118SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1704,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST118TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,929,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST118TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,339,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST119CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1517,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST119SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,416,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST119TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1692,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST119TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,726,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST11SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,652,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST120SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2224,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST121CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,752,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST121SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,313,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST121TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1218,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST121TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,427,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST122SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1,0,0,0,12741,1,UCSFFSL,MRI (Longitudinal),1,1,0
ST123CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1789,0,0,0,10217,0.80189938,UCSFFSL,MRI (Longitudinal),1,1,0
ST123SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1496,0,0,0,10217,0.80189938,UCSFFSL,MRI (Longitudinal),1,1,0
ST123TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,651,0,0,0,10217,0.80189938,UCSFFSL,MRI (Longitudinal),1,1,0
ST123TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,590,0,0,0,10217,0.80189938,UCSFFSL,MRI (Longitudinal),1,1,0
ST124SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1502,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST125SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,513,2,0,0,8429,0.661722,UCSFFSL,MRI (Longitudinal),1,1,0
ST126SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,1,0,0,0,12741,1,UCSFFSL,MRI (Longitudinal),1,1,0
ST127SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,2061,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
ST128SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,object,3505,0,0,0,8400,0.65928891,UCSFFSL,MRI (Longitudinal),1,1,0
